"Domain","X1","Y1","X2","Y2","Width","Height","Area","Coords"
"www.epharma.md","110","420","160","440","50","20","1000","110,420,160,440"
"www.billigfluege.ag","500","200","580","210","80","10","800","500,200,580,210"
"www.creditcardbank.co.uk","500","620","530","640","30","20","600","500,620,530,640"
"www.mangosteen-zambroza.co.uk","410","520","470","530","60","10","600","410,520,470,530"
"www.stickernation.com","110","550","160","560","50","10","500","110,550,160,560"
"www.thecampbelldiet.com","0","520","50","530","50","10","500","0,520,50,530"
"www.savemoneygetmore.com","850","270","870","290","20","20","400","850,270,870,290"
"www.herbal-pillows.com","0","900","20","920","20","20","400","0,900,20,920"
"www.esoftcom.biz","580","520","600","540","20","20","400","580,520,600,540"
"www.giftcardsetc.net","80","790","120","800","40","10","400","80,790,120,800"
"www.peerclixpsp.co.uk","250","70","270","90","20","20","400","250,70,270,90"
"www.webkruzer.com","450","760","490","770","40","10","400","450,760,490,770"
"www.mypad.biz","720","220","740","240","20","20","400","720,220,740,240"
"www.milliondollarhomepagehomepage.com","630","850","670","860","40","10","400","630,850,670,860"
"www.rugbyview.com","260","250","280","270","20","20","400","260,250,280,270"
"www.rapidnewsdaily.com","510","20","530","40","20","20","400","510,20,530,40"
"www.echigo.co.uk","320","50","340","70","20","20","400","320,50,340,70"
"www.iceni-it.co.uk","440","280","470","290","30","10","300","440,280,470,290"
"www.incentevents.co.uk","320","490","350","500","30","10","300","320,490,350,500"
"www.orionshipping.co.uk","670","330","700","340","30","10","300","670,330,700,340"
"www.myth-and-magic.co.uk","750","270","780","280","30","10","300","750,270,780,280"
"www.moneyontheway.com","790","0","800","30","10","30","300","790,0,800,30"
"www.xbox-store.co.uk","370","240","400","250","30","10","300","370,240,400,250"
"www.10uhk.com","70","920","100","930","30","10","300","70,920,100,930"
"www.iceni-it.co.uk","470","280","500","290","30","10","300","470,280,500,290"
"www.iceni-it.co.uk","500","280","530","290","30","10","300","500,280,530,290"
"www.master-of-my-fate.org","330","340","360","350","30","10","300","330,340,360,350"
"www.xpertsports.com","130","150","150","160","20","10","200","130,150,150,160"
"www.mobilephone-sites.co.uk","260","210","280","220","20","10","200","260,210,280,220"
"www.skoobabags.com","440","390","460","400","20","10","200","440,390,460,400"
"www.freepau.com","420","60","440","70","20","10","200","420,60,440,70"
"www.web-london-city-hotels.com","550","390","570","400","20","10","200","550,390,570,400"
"www.stdwizard.co.uk","760","80","780","90","20","10","200","760,80,780,90"
"www.world-no-1.com","470","650","490","660","20","10","200","470,650,490,660"
"www.climatechsafety.co.uk","790","100","800","120","10","20","200","790,100,800,120"
"www.wealthandfreedomstrategies.com","590","140","600","160","10","20","200","590,140,600,160"
"www.harrycrappers.co.uk","140","670","160","680","20","10","200","140,670,160,680"
"www.worldwidewebwall.com","570","400","580","420","10","20","200","570,400,580,420"
"www.get-bigger.info","810","390","830","400","20","10","200","810,390,830,400"
"www.jonosax.co.uk","40","430","50","440","10","10","100","40,430,50,440"
"www.mobilecandy.co.uk","500","440","510","450","10","10","100","500,440,510,450"
"www.effnerfinancialgroup.com","530","400","540","410","10","10","100","530,400,540,410"
"www.derricksonfinancial.com","610","390","620","400","10","10","100","610,390,620,400"
"www.beerfinancial.com","620","440","630","450","10","10","100","620,440,630,450"
"www.robsavino.com","310","410","320","420","10","10","100","310,410,320,420"
"www.irahermann-nmfn.com","470","410","480","420","10","10","100","470,410,480,420"
"www.calder-recordings.co.uk","710","250","720","260","10","10","100","710,250,720,260"
"www.ebytes.ca","450","530","460","540","10","10","100","450,530,460,540"
"www.sharesoon.com","120","470","130","480","10","10","100","120,470,130,480"
"www.nitrisclothing.com","220","790","230","800","10","10","100","220,790,230,800"
"www.ecampsite.co.uk","130","340","140","350","10","10","100","130,340,140,350"
"www.thezreview.co.uk","930","100","940","110","10","10","100","930,100,940,110"
"www.aquote4cars.co.uk","690","990","700","1000","10","10","100","690,990,700,1000"
